consumer_likelihood,average_purchase,DairyPro_1,DairyCon_1,DairyPic_1,PlantPro_1,PlantCon_1,PlantPic_1,DairyPro_2,DairyCon_2,DairyPic_2,PlantPro_2,PlantCon_2,PlantPic_2,treatment,ad_type,milk_type
3,,,,,3,,,,,,,,,PlantPro,Pro,Plant
4,4,4,,,,,,4,,,,,,DairyPro,Pro,Dairy
4,5,,,4,,,,,,5,,,,Dairy_control,Control,Dairy
2,2,,,,,,2,,,,,,2,Plant_control,Control,Plant
2,1,,2,,,,,,1,,,,,DairyCon,Con,Dairy
3,,,,,3,,,,,,,,,PlantPro,Pro,Plant
5,4,,,5,,,,,,4,,,,Dairy_control,Control,Dairy
4,1,,,,,,4,,,,,,1,Plant_control,Control,Plant
1,1,1,,,,,,1,,,,,,DairyPro,Pro,Dairy
1,3,,1,,,,,,3,,,,,DairyCon,Con,Dairy
1,1,,,,,1,,,,,,1,,PlantCon,Con,Plant
3,1,,3,,,,,,1,,,,,DairyCon,Con,Dairy
1,1,1,,,,,,1,,,,,,DairyPro,Pro,Dairy
4,1,,,,,4,,,,,,1,,PlantCon,Con,Plant
2,1,,,2,,,,,,1,,,,Dairy_control,Control,Dairy
1,,,,,,,1,,,,,,,Plant_control,Control,Plant
3,3,,,,,,3,,,,,,3,Plant_control,Control,Plant
5,1,,,5,,,,,,1,,,,Dairy_control,Control,Dairy
3,1,,3,,,,,,1,,,,,DairyCon,Con,Dairy
1,1,,,,1,,,,,,1,,,PlantPro,Pro,Plant
2,1,2,,,,,,1,,,,,,DairyPro,Pro,Dairy
3,4,,,,,3,,,,,,4,,PlantCon,Con,Plant
3,2,,,,3,,,,,,2,,,PlantPro,Pro,Plant
4,2,,4,,,,,,2,,,,,DairyCon,Con,Dairy
3,2,,,,,3,,,,,,2,,PlantCon,Con,Plant
3,2,,,3,,,,,,2,,,,Dairy_control,Control,Dairy
1,1,1,,,,,,1,,,,,,DairyPro,Pro,Dairy
1,1,,,,,,1,,,,,,1,Plant_control,Control,Plant
4,5,,,,,4,,,,,,5,,PlantCon,Con,Plant
2,,,,2,,,,,,,,,,Dairy_control,Control,Dairy
3,3,,,,,3,,,,,,3,,PlantCon,Con,Plant
1,1,1,,,,,,1,,,,,,DairyPro,Pro,Dairy
4,2,,,,4,,,,,,2,,,PlantPro,Pro,Plant
1,1,,,,1,,,,,,1,,,PlantPro,Pro,Plant
2,3,2,,,,,,3,,,,,,DairyPro,Pro,Dairy
2,1,,,2,,,,,,1,,,,Dairy_control,Control,Dairy
4,3,,,,,,4,,,,,,3,Plant_control,Control,Plant
2,1,,2,,,,,,1,,,,,DairyCon,Con,Dairy
1,1,,,,,1,,,,,,1,,PlantCon,Con,Plant
